Date,EventDate,Event,Site,ECO,White,Black,Round,Result
1984.09.17,1984.09.10,World Championship 31th,Moscow RUS,B44,"Karpov, Anatoly","Kasparov, Gary",3,1-0
1984.09.21,1984.09.10,World Championship 31th,Moscow RUS,E15,"Kasparov, Gary","Karpov, Anatoly",4,1/2-1/2
1984.09.24,1984.09.10,World Championship 31th,Moscow RUS,B85,"Karpov, Anatoly","Kasparov, Gary",5,1/2-1/2
1984.09.26,1984.09.10,World Championship 31th,Moscow RUS,E15,"Kasparov, Gary","Karpov, Anatoly",6,0-1
1984.09.28,1984.09.10,World Championship 31th,Moscow RUS,D34,"Karpov, Anatoly","Kasparov, Gary",7,1-0
1984.10.03,1984.09.10,World Championship 31th,Moscow RUS,E05,"Kasparov, Gary","Karpov, Anatoly",8,1/2-1/2
1984.10.05,1984.09.10,World Championship 31th,Moscow RUS,D34,"Karpov, Anatoly","Kasparov, Gary",9,1-0
1984.10.08,1984.09.10,World Championship 31th,Moscow RUS,E12,"Kasparov, Gary","Karpov, Anatoly",10,1/2-1/2
1984.10.10,1984.09.10,World Championship 31th,Moscow RUS,A30,"Karpov, Anatoly","Kasparov, Gary",11,1/2-1/2
1984.10.12,1984.09.10,World Championship 31th,Moscow RUS,D58,"Kasparov, Gary","Karpov, Anatoly",12,1/2-1/2
1984.10.15,1984.09.10,World Championship 31th,Moscow RUS,A30,"Karpov, Anatoly","Kasparov, Gary",13,1/2-1/2
1984.10.17,1984.09.10,World Championship 31th,Moscow RUS,E15,"Kasparov, Gary","Karpov, Anatoly",14,1/2-1/2
1984.10.19,1984.09.10,World Championship 31th,Moscow RUS,E15,"Karpov, Anatoly","Kasparov, Gary",15,1/2-1/2
1984.10.22,1984.09.10,World Championship 31th,Moscow RUS,E15,"Kasparov, Gary","Karpov, Anatoly",16,1/2-1/2
1984.10.24,1984.09.10,World Championship 31th,Moscow RUS,D58,"Karpov, Anatoly","Kasparov, Gary",17,1/2-1/2
1984.10.26,1984.09.10,World Championship 31th,Moscow RUS,E15,"Kasparov, Gary","Karpov, Anatoly",18,1/2-1/2
1984.10.29,1984.09.10,World Championship 31th,Moscow RUS,D55,"Karpov, Anatoly","Kasparov, Gary",19,1/2-1/2
1984.10.31,1984.09.10,World Championship 31th,Moscow RUS,A30,"Kasparov, Gary","Karpov, Anatoly",20,1/2-1/2
1984.11.02,1984.09.10,World Championship 31th,Moscow RUS,D53,"Karpov, Anatoly","Kasparov, Gary",21,1/2-1/2
1984.11.05,1984.09.10,World Championship 31th,Moscow RUS,E05,"Kasparov, Gary","Karpov, Anatoly",22,1/2-1/2
1984.11.12,1984.09.10,World Championship 31th,Moscow RUS,D53,"Karpov, Anatoly","Kasparov, Gary",23,1/2-1/2
1984.11.16,1984.09.10,World Championship 31th,Moscow RUS,A33,"Kasparov, Gary","Karpov, Anatoly",24,1/2-1/2
1984.11.19,1984.09.10,World Championship 31th,Moscow RUS,D58,"Karpov, Anatoly","Kasparov, Gary",25,1/2-1/2
1984.11.21,1984.09.10,World Championship 31th,Moscow RUS,A33,"Kasparov, Gary","Karpov, Anatoly",26,1/2-1/2
1984.11.23,1984.09.10,World Championship 31th,Moscow RUS,D55,"Karpov, Anatoly","Kasparov, Gary",27,1-0
1984.11.28,1984.09.10,World Championship 31th,Moscow RUS,C42,"Kasparov, Gary","Karpov, Anatoly",28,1/2-1/2
1984.12.03,1984.09.10,World Championship 31th,Moscow RUS,D47,"Karpov, Anatoly","Kasparov, Gary",29,1/2-1/2
1984.12.05,1984.09.10,World Championship 31th,Moscow RUS,C42,"Kasparov, Gary","Karpov, Anatoly",30,1/2-1/2
1984.12.07,1984.09.10,World Championship 31th,Moscow RUS,D58,"Karpov, Anatoly","Kasparov, Gary",31,1/2-1/2
1984.12.12,1984.09.10,World Championship 31th,Moscow RUS,E12,"Kasparov, Gary","Karpov, Anatoly",32,1-0
1984.12.17,1984.09.10,World Championship 31th,Moscow RUS,D45,"Karpov, Anatoly","Kasparov, Gary",33,1/2-1/2
1984.12.19,1984.09.10,World Championship 31th,Moscow RUS,D58,"Kasparov, Gary","Karpov, Anatoly",34,1/2-1/2
1984.12.26,1984.09.10,World Championship 31th,Moscow RUS,B64,"Karpov, Anatoly","Kasparov, Gary",35,1/2-1/2
1984.12.28,1984.09.10,World Championship 31th,Moscow RUS,D58,"Kasparov, Gary","Karpov, Anatoly",36,1/2-1/2
1985.01.02,1984.09.10,World Championship 31th,Moscow RUS,B63,"Karpov, Anatoly","Kasparov, Gary",37,1/2-1/2
1985.01.04,1984.09.10,World Championship 31th,Moscow RUS,D58,"Kasparov, Gary","Karpov, Anatoly",38,1/2-1/2
1985.01.07,1984.09.10,World Championship 31th,Moscow RUS,D58,"Karpov, Anatoly","Kasparov, Gary",39,1/2-1/2
1985.01.09,1984.09.10,World Championship 31th,Moscow RUS,D58,"Kasparov, Gary","Karpov, Anatoly",40,1/2-1/2
1985.01.14,1984.09.10,World Championship 31th,Moscow RUS,C42,"Karpov, Anatoly","Kasparov, Gary",41,1/2-1/2
1985.01.16,1984.09.10,World Championship 31th,Moscow RUS,D58,"Kasparov, Gary","Karpov, Anatoly",42,1/2-1/2
1985.01.18,1984.09.10,World Championship 31th,Moscow RUS,B84,"Karpov, Anatoly","Kasparov, Gary",43,1/2-1/2
1985.01.21,1984.09.10,World Championship 31th,Moscow RUS,C92,"Kasparov, Gary","Karpov, Anatoly",44,1/2-1/2
1985.01.23,1984.09.10,World Championship 31th,Moscow RUS,B85,"Karpov, Anatoly","Kasparov, Gary",45,1/2-1/2
1985.01.28,1984.09.10,World Championship 31th,Moscow RUS,C92,"Kasparov, Gary","Karpov, Anatoly",46,1/2-1/2
1985.01.30,1984.09.10,World Championship 31th,Moscow RUS,D52,"Karpov, Anatoly","Kasparov, Gary",47,0-1
1985.02.08,1984.09.10,World Championship 31th,Moscow RUS,C42,"Kasparov, Gary","Karpov, Anatoly",48,1-0
